source,target,value
blaTEM-1,Penicillinases,1
blaSHV-1,Penicillinases,1
blaTEM-30,IRT,1
blaOXA-1,Oxcillinases,1
blaTEM-10,ESBL,1
blaSHV-12,ESBL,1
blaCTX-M-15,ESBL,1
ampC*,AmpC,1
blaCMY-2,AmpC,1
blaDHA-1,AmpC,1
blaFOX-1,AmpC,1
blaACC-4,AmpC,1
blaKPC-18,Carbapenemases,1
blaNDM-1,Carbapenemases,1
blaVIM-4,Carbapenemases,1
blaGES-3,Carbapenemases,1
Penicillinases,NS penicillins,1
Penicillinases,1G cephalosporins,1
IRT,NS penicillins,1
IRT,ES penicillins,1
IRT,1G cephalosporins,1
IRT,Monobactams,1
Oxcillinases,NS penicillins,1
Oxcillinases,ES penicillins,1
ESBL,NS penicillins,1
ESBL,ES penicillins,1
ESBL,1G cephalosporins,1
ESBL,3G cephalosporins,1
ESBL,4G cephalosporins,1
ESBL,Monobactams,1
AmpC,NS penicillins,1
AmpC,ES penicillins,1
AmpC,1G cephalosporins,1
AmpC,2G cephalosporins,1
AmpC,3G cephalosporins,1
AmpC,4G cephalosporins,1
Carbapenemases,NS penicillins,1
Carbapenemases,ES penicillins,1
Carbapenemases,1G cephalosporins,1
Carbapenemases,2G cephalosporins,1
Carbapenemases,3G cephalosporins,1
Carbapenemases,4G cephalosporins,1
Carbapenemases,Carbapenems,1
Carbapenemases,Monobactams,1
